语文,数学,英语,道德与法治,历史,地理,生物,总分,班名次,级名次,残疾人家庭子女,单亲家庭子女,离异型家庭子女,义务教育家庭经济困难,义务教育阶段学业困难
115,140,142,48,30,41,41,557,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
106,136,143,48,42,42,33,550,2,2,FALSE,FALSE,FALSE,FALSE,FALSE
120,132,142,47,29,42,37,549,3,3,FALSE,FALSE,FALSE,FALSE,FALSE
102,140,131,45,40,45,41,544,4,4,FALSE,FALSE,FALSE,FALSE,FALSE
99,128,141,48,37,43,43,539,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
99,132,140,45,28,35,43,522,6,6,FALSE,FALSE,FALSE,FALSE,FALSE
100,112,131,46,42,41,43,515,7,7,FALSE,FALSE,FALSE,FALSE,FALSE
110,127,118,47,40,37,35,514,8,8,FALSE,FALSE,FALSE,FALSE,FALSE
93,124,138,43,40,38,37,513,9,9,FALSE,FALSE,FALSE,FALSE,FALSE
105,112,136,50,34,35,40,512,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
102,110,131,47,40,43,33,506,11,11,FALSE,FALSE,FALSE,FALSE,FALSE
89,130,132,45,25,44,36,501,12,12,FALSE,FALSE,FALSE,FALSE,FALSE
88,130,134,46,29,37,33,497,13,13,FALSE,FALSE,FALSE,FALSE,FALSE
107,112,128,41,33,40,34,495,14,14,FALSE,FALSE,FALSE,FALSE,FALSE
101,111,134,49,26,40,32,493,15,15,FALSE,FALSE,FALSE,FALSE,FALSE
108,101,132,45,29,41,35,491,16,16,FALSE,FALSE,FALSE,FALSE,FALSE
96,113,129,42,37,36,36,489,17,17,FALSE,FALSE,FALSE,FALSE,FALSE
85,121,125,47,37,37,35,487,18,18,FALSE,FALSE,FALSE,FALSE,FALSE
102,116,117,45,32,36,34,482,19,19,FALSE,FALSE,FALSE,FALSE,FALSE
89,113,121,48,36,38,36,481,20,20,FALSE,FALSE,FALSE,FALSE,FALSE
100,114,106,41,41,40,34,476,21,21,FALSE,FALSE,FALSE,FALSE,FALSE
121,98,117,43,26,36,27,468,22,22,FALSE,FALSE,FALSE,FALSE,FALSE
110,97,130,46,25,31,27,466,23,23,FALSE,FALSE,FALSE,FALSE,FALSE
83,120,129,44,20,34,34,464,24,24,FALSE,FALSE,FALSE,FALSE,FALSE
89,110,129,43,22,36,32,461,25,25,FALSE,FALSE,FALSE,FALSE,FALSE
90,107,123,42,18,38,43,461,25,25,FALSE,FALSE,FALSE,FALSE,FALSE
102,98,114,44,25,39,38,460,26,26,FALSE,FALSE,FALSE,FALSE,FALSE
81,131,124,39,21,34,25,455,27,27,FALSE,FALSE,FALSE,FALSE,FALSE
92,93,110,42,30,39,45,451,28,28,FALSE,FALSE,FALSE,FALSE,FALSE
92,104,125,36,22,30,35,444,30,30,FALSE,FALSE,FALSE,FALSE,FALSE
79,121,121,43,25,29,26,444,30,30,FALSE,FALSE,FALSE,FALSE,FALSE
93,116,105,46,19,33,30,442,31,31,FALSE,FALSE,FALSE,FALSE,FALSE
98,105,125,36,22,28,28,442,31,31,FALSE,FALSE,FALSE,FALSE,FALSE
87,114,96,42,23,41,35,438,32,32,FALSE,FALSE,FALSE,FALSE,FALSE
85,100,129,39,17,33,34,437,33,33,FALSE,FALSE,FALSE,FALSE,FALSE
82,101,109,40,26,36,42,436,34,34,FALSE,FALSE,FALSE,FALSE,FALSE
105,75,126,42,25,35,27,435,35,35,FALSE,FALSE,FALSE,FALSE,FALSE
78,88,122,40,25,38,41,432,1,37,FALSE,FALSE,FALSE,FALSE,FALSE
69,99,110,44,30,38,37,427,37,38,FALSE,FALSE,FALSE,FALSE,FALSE
90,95,126,36,22,35,23,427,37,38,FALSE,FALSE,FALSE,FALSE,FALSE
78,92,114,40,26,39,24,413,39,40,FALSE,FALSE,FALSE,FALSE,FALSE
