答卷编号,您好，您家有（在上学的）小孩吗,您好，您家有（在上学的）小孩吗_开放选项,孩子年龄,现在的幼儿园学费大概多少钱/学期？,现在的学校（小学）的学费大概多少钱/学期？,现在的学校（初中）的学费大概多少钱/学期？,您有给孩子报类似课外班的课程吗？_有，辅导主课,您有给孩子报类似课外班的课程吗？_有，兴趣班,您有给孩子报类似课外班的课程吗？_无,哪一门课（多少钱一节课，填空）？_语文,哪一门课（多少钱一节课，填空）？_语文_开放选项,哪一门课（多少钱一节课，填空）？_数学,哪一门课（多少钱一节课，填空）？_数学_开放选项,哪一门课（多少钱一节课，填空）？_英语,哪一门课（多少钱一节课，填空）？_英语_开放选项,哪一门课（多少钱一节课，填空）？_历史,哪一门课（多少钱一节课，填空）？_历史_开放选项,哪一门课（多少钱一节课，填空）？_地理,哪一门课（多少钱一节课，填空）？_地理_开放选项,哪一门课（多少钱一节课，填空）？_政治,哪一门课（多少钱一节课，填空）？_政治_开放选项,哪一门课（多少钱一节课，填空）？_生物,哪一门课（多少钱一节课，填空）？_生物_开放选项,有什么兴趣班，多少钱一节课？_舞蹈,有什么兴趣班，多少钱一学期？_舞蹈_开放选项,有什么兴趣班，多少钱一节课？_编程,有什么兴趣班，多少钱一节课？_编程_开放选项,有什么兴趣班，多少钱一节课？_绘画,有什么兴趣班，多少钱一节课？_绘画_开放选项,有什么兴趣班，多少钱一节课？_唱歌,有什么兴趣班，多少钱一节课？_唱歌_开放选项,有什么兴趣班，多少钱一节课？_体育,有什么兴趣班，多少钱一节课？_体育_开放选项,有什么兴趣班，多少钱一节课？_其他,有什么兴趣班，多少钱一节课？_其他_开放选项,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子1,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子2,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子3,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子4,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子5,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子6,您对孩子的在学校的成绩满意吗（可能有多个孩子）（满分是5，如果孩子数量不够，那么在后面的选项就写6星，例如只有两个孩子：孩子一：3；孩子二：5；孩子三以后都是6星）？_孩子7,您觉得孩子的学习刻苦（作业完成情况）吗？_选项1,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_初中毕业,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_高中/中专 毕业,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_本科/职专 毕业,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_不知道/没想过，看孩子自能够走到那一步,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_不愿意回答,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_硕士毕业,您希望自己的孩子最后能够读书读到什么层次，在提问时回答读到大学，没有明确说明的就填本科毕业（可能会有多个孩子）？_博士毕业,您知晓您的孩子在中考中有说明优惠政策吗_加分,您知晓您的孩子在中考中有说明优惠政策吗_加分_开放选项,您知晓您的孩子在中考中有说明优惠政策吗_优先录取,您知晓您的孩子在中考中有说明优惠政策吗_优先录取_开放选项,您知晓您的孩子在中考中有说明优惠政策吗_其他,您知晓您的孩子在中考中有说明优惠政策吗_其他_开放选项,您知晓您的孩子在中考中有说明优惠政策吗_不清楚,您知晓您的孩子在中考中有说明优惠政策吗_不清楚_开放选项,您有考虑过孩子将来的工作/职业吗？_继续务农,您有考虑过孩子将来的工作/职业吗？_打工，劳务输出（搬砖。。。 。。。）,您有考虑过孩子将来的工作/职业吗？_进单位工作,您有考虑过孩子将来的工作/职业吗？_其他,您有考虑过孩子将来的工作/职业吗？_其他_开放选项,您有考虑过孩子将来的工作/职业吗？_孩子可以自由选择职业,您有考虑过孩子将来的工作/职业吗？_没有考虑过,您有没有带着孩子出去玩过，去过那里，给您留下了深刻印象,您有没有带着孩子出去玩过，去过那里，给您留下了深刻印象_开放选项,如果让您给孩子们提建议，您建议他们读书读到什么层次？_不要读书,如果让您给孩子们提建议，您建议他们读书读到什么层次？_小学毕业,如果让您给孩子们提建议，您建议他们读书读到什么层次？_初中毕业,如果让您给孩子们提建议，您建议他们读书读到什么层次？_高中/中专毕业,如果让您给孩子们提建议，您建议他们读书读到什么层次？_本科/大专毕业,如果让您给孩子们提建议，您建议他们读书读到什么层次？_硕士及以上,如果让您给孩子们提建议，您建议他们读书读到什么层次？_因人而异，看孩子自己意愿,如果让您给孩子们提建议，您建议他们读书读到什么层次？_没想过,您（家里人）的学历,您觉得本地水质如何（与矿泉水比较，例如烧水时是否会有水垢，如果有，多吗）？_选项1,您觉得本地供暖设施如何（暖和吗，是否会很冷）？_选项1,取暖方式_电,取暖方式_烧柴火,取暖方式_烧煤,取暖方式_其他,取暖方式_其他_开放选项,您觉得到其他地区（如平南镇、天水市）的交通方便吗？_不清楚，自己开车,您觉得到其他地区（如平南镇、天水市）的交通方便吗？_希望增加车次，减少等待时间,您觉得到其他地区（如平南镇、天水市）的交通方便吗？_希望上午/下午，都可以方便的进城,您觉得到其他地区（如平南镇、天水市）的交通方便吗？_现在就好,您觉得到其他地区（如平南镇、天水市）的交通方便吗？_不出去,您一家几口人？,家里有人务农吗？,您家里有多少人外出务工/有人外出务工吗？,您近几年对自己的房屋有怎样的打算？,您平时多久到外边倒一次垃圾_每天,您平时多久到外边倒一次垃圾_两三天,您平时多久到外边倒一次垃圾_一周倒一次,您平时多久到外边倒一次垃圾_垃圾自己烧掉,您平时多久到外边倒一次垃圾_运到山上,您平时多久到外边倒一次垃圾_其他,您平时多久到外边倒一次垃圾_其他_开放选项,您家的收入/年？（）,您希望自己的孩子最后能够读书读到什么层次（可能会有多个孩子）？_初中毕业,您希望自己的孩子最后能够读书读到什么层次（可能会有多个孩子）？_高中/中专 毕业,您希望自己的孩子最后能够读书读到什么层次（可能会有多个孩子）？_本科/职专 毕业,您希望自己的孩子最后能够读书读到什么层次（可能会有多个孩子）？_不知道/没想过，看孩子自能够走到那一步,您觉得本地水质如何（与矿泉水比较）？_选项1,您平时怎么倒垃圾_自己送到垃圾站,您平时怎么倒垃圾_垃圾站来人收集垃圾,您平时怎么倒垃圾_其他，我们不知道的方式,您平时怎么倒垃圾_其他，我们不知道的方式_开放选项
1,有，几个,1,16,,,,,有，兴趣班,,,,,,,,,,,,,,,,,,,,,,,,体育,,,,,,,,,,,,,,本科/职专 毕业,,,,,,,,,,,,,,,,其他,体育方面,,,没有外出,,,,,,,,,,初中毕业,5,6,,,烧煤,,,,,,现在就好,,4,有,1,无,,,,垃圾自己烧掉,,,,40000,,,,,,,,,
2,有，几个,2,9,,200,200,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,6,,6,5,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,孩子可以自由选择职业,,外出过，填写地名,市,,,,,,,,,小学毕业,3,8,,,烧煤,,,,,,现在就好,,5,有,1,无,,,,垃圾自己烧掉,,,,20000,,,,,,,,,
3,有，几个,1,4,2000,,,,有，兴趣班,,,,,,,,,,,,,,,,舞蹈,600,,,,,,,,,,,,,,,,,,,,,,,,,博士毕业,,,,,,,,,,,,,,孩子可以自由选择职业,,外出过，填写地名,青海,,,,,,,,,高中毕业,8,4,,,,其他,炕,不清楚，自己开车,,,,,4,没有,4及4以上,无,,两三天,,垃圾自己烧掉,,,,50000,,,,,,,,,
4,有，几个,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本科/职专 毕业,,,,,,,,,,,,,,,进单位工作,,,孩子可以自由选择职业,,,,,,,,,,,,,8,10,,烧柴火,烧煤,其他,火炕（烧柴火）,,,,现在就好,,6,有,1,无,每天,,,,,,,55000,,,,,,,,,
5,没有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,烧煤,,,,希望增加车次，减少等待时间,,,,5,有,1,无,,,,,,其他,满了就倒垃圾,,,,,,,,,,
6,有，几个,3,4,,4000,,,有，兴趣班,,,,,,,,,,,,,,,,舞蹈,,,,绘画,,,,,,其他,唱戏,,,,,,,,,,,,不知道/没想过，看孩子自能够走到那一步,,,,,,,,,,,,,,,,,孩子可以自由选择职业,,外出过，填写地名,市 果园,,,,,,,,,初中毕业,2,3,,,烧煤,,,,,,现在就好,,11,有,4及4以上,改建/扩建,每天,,,,,,,25000,,,,,,,,,
7,有，几个,2,8,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,孩子可以自由选择职业,,没有外出,,,,,,,,,,小学肄业,8,8,,烧柴火,烧煤,,,,,,现在就好,,4,有,1,装修,每天,,,,,,,35000,,,,,,,,,
8,有，几个,2,7,,0,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,10,,,本科/职专 毕业,,,硕士毕业,博士毕业,,,,,,,,,,,,,,,没有考虑过,没有外出,,,,,,,,,,大学毕业,7,4,,,,其他,炕,不清楚，自己开车,,,现在就好,,6,有,0,购买另一套,,,,垃圾自己烧掉,,,,90000,,,,,,,,,
9,有，几个,2,8,,,,有，辅导主课,,,语文,-,数学,-,英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本科/职专 毕业,,,,,,,,,,,,,,,进单位工作,,,,,外出过，填写地名,补课,,,,,,,,,初中毕业,1,3,,,烧煤,,,,希望增加车次，减少等待时间,,,,6,有,2,购买另一套,每天,,,,,,,,,,,,,,,,
10,有，几个,2,13,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,9,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,孩子可以自由选择职业,,外出过，填写地名,天水市,,,,,,,,,初中毕业,9,10,,,烧煤,其他,土炕,不清楚，自己开车,,,,,8,没有,1,改建/扩建,每天,,,,,,,40000,,,,,,,,,
11,没有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,没想过,无,8,8,,,烧煤,,,,,,现在就好,,5,有,2,改建/扩建,每天,,,,,,,20000,,,,,,,,,
12,有，几个,2,4,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小学毕业,8,4,,,,其他,炕,不清楚，自己开车,,,,,3,没有,3,购买另一套,每天,,,,,其他,卖掉,10000,,,,,,,,,
13,有，几个,3,11,,0,0,有，辅导主课,,,,,数学,100,,,,,,,,,,,,,,,,,,,,,,,6,6,,,6,6,6,10,,,,,,硕士毕业,,,,,,,,,,,,,,,,没有考虑过,外出过，填写地名,市,,,,,,,,,,10,9,,,烧煤,,,,,,现在就好,,7,有,2,无,,,,,,其他,,,,,,,,,,,
14,有，几个,2,12,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,,没有考虑过,外出过，填写地名,-,,,,,,,,,初中毕业,5,3,,,烧煤,,,,,希望上午/下午，都可以方便的进城,,,6,有,2,无,,两三天,,,,,,,,,,,,,,,
15,有，几个,3,12,,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,6,6,6,6,5,,,,不知道/没想过，看孩子自能够走到那一步,,,,,,,,,,,,,,,,,孩子可以自由选择职业,,没有外出,,,,,,,,,,小学毕业,9,7,,,烧煤,,,,,,现在就好,,5,有,1,无,每天,,,,,,,10000,,,,,,,,,
16,有，几个,2,13,,,200,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,6,6,6,6,2,,,本科/职专 毕业,,,硕士毕业,博士毕业,,,,,,,,,,,,,,孩子可以自由选择职业,,没有外出,,,,,,,,,,小学肄业,5,6,,,烧煤,,,,希望增加车次，减少等待时间,,现在就好,,5,没有,1,无,,两三天,,,,,,,,,,,,,,,
17,有，几个,1,11,,150,,有，辅导主课,,,,,,,英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,,没有考虑过,外出过，填写地名,西安,,,,,,,,,初中毕业,7,4,,,烧煤,,,不清楚，自己开车,,,,,5,有,1,无,每天,,,,,,,,,,,,,,,,
18,有，几个,2,11,,150,300,有，辅导主课,,,,,数学,10,英语,10,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,6,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,,没有考虑过,外出过，填写地名,新疆,,,,,,,,,初中毕业,1,1,,,烧煤,,,,,,现在就好,,5,有,2,装修,每天,,,,,,,,,,,,,,,,
19,有，几个,2,12,,,300,有，辅导主课,,,,,数学,30,英语,30,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,10,,,本科/职专 毕业,,,,,,,,,,,,,,,,,,,没有考虑过,外出过，但没有什么令人印象深刻的地方（/不愿意具体回答）,,,,,,,,,,不愿意回答,10,8,,,烧煤,,,,,希望上午/下午，都可以方便的进城,,,4,有,3,无,每天,,,,,,,,,,,,,,,,
20,有，几个,2,9,,,300,有，辅导主课,,,,,数学,10,英语,10,,,,,,,,,,,,,,,,,,,,,2,4,6,6,6,6,6,6,,,,,,,博士毕业,,,,,,,,,,,,,,孩子可以自由选择职业,,外出过，但没有什么令人印象深刻的地方（/不愿意具体回答）,,,,,,,,,,小学毕业,10,10,电,,,,,,希望增加车次，减少等待时间,,,,5,有,1,无,,两三天,,,,,,,,,,,,,,,
